LineId,Host,HostIp,LogType,DateTime,Content,EventId,EventTemplate,ParameterList
1,host1,192.168.0.1,daemon,2021-03-03T00:09:18,Mar  3 00:09:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 00', '09:18', '1', 'Starting', 'files...']"
2,host1,192.168.0.1,daemon,2021-03-03T00:09:19,Mar  3 00:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 00', '09:19', '1', 'Started', 'files.']"
3,host1,192.168.0.1,daemon,2021-03-03T00:39:18,Mar  3 00:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 00', '39:18', '1', 'Starting', 'files...']"
4,host1,192.168.0.1,daemon,2021-03-03T00:39:19,Mar  3 00:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 00', '39:19', '1', 'Started', 'files.']"
5,host1,192.168.0.1,daemon,2021-03-03T01:09:19,Mar  3 01:09:19 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 01', '09:19', '1', 'Starting', 'files...']"
6,host1,192.168.0.1,daemon,2021-03-03T01:09:19,Mar  3 01:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 01', '09:19', '1', 'Started', 'files.']"
7,host1,192.168.0.1,daemon,2021-03-03T01:39:18,Mar  3 01:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 01', '39:18', '1', 'Starting', 'files...']"
8,host1,192.168.0.1,daemon,2021-03-03T01:39:19,Mar  3 01:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 01', '39:19', '1', 'Started', 'files.']"
9,host1,192.168.0.1,daemon,2021-03-03T02:09:19,Mar  3 02:09:19 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 02', '09:19', '1', 'Starting', 'files...']"
10,host1,192.168.0.1,daemon,2021-03-03T02:09:19,Mar  3 02:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 02', '09:19', '1', 'Started', 'files.']"
11,host1,192.168.0.1,daemon,2021-03-03T02:39:18,Mar  3 02:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 02', '39:18', '1', 'Starting', 'files...']"
12,host1,192.168.0.1,daemon,2021-03-03T02:39:19,Mar  3 02:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 02', '39:19', '1', 'Started', 'files.']"
13,host1,192.168.0.1,daemon,2021-03-03T03:09:18,Mar  3 03:09:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 03', '09:18', '1', 'Starting', 'files...']"
14,host1,192.168.0.1,daemon,2021-03-03T03:09:19,Mar  3 03:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 03', '09:19', '1', 'Started', 'files.']"
15,host1,192.168.0.1,daemon,2021-03-03T03:39:18,Mar  3 03:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 03', '39:18', '1', 'Starting', 'files...']"
16,host1,192.168.0.1,daemon,2021-03-03T03:39:19,Mar  3 03:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 03', '39:19', '1', 'Started', 'files.']"
17,host1,192.168.0.1,daemon,2021-03-03T04:09:19,Mar  3 04:09:19 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 04', '09:19', '1', 'Starting', 'files...']"
18,host1,192.168.0.1,daemon,2021-03-03T04:09:19,Mar  3 04:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 04', '09:19', '1', 'Started', 'files.']"
19,host1,192.168.0.1,daemon,2021-03-03T04:39:18,Mar  3 04:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 04', '39:18', '1', 'Starting', 'files...']"
20,host1,192.168.0.1,daemon,2021-03-03T04:39:19,Mar  3 04:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 04', '39:19', '1', 'Started', 'files.']"
21,host1,192.168.0.1,daemon,2021-03-03T05:00:48,Mar  3 05:00:48 mail systemd[1]: Starting Daily apt download activities...,d8914b98,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Daily apt download <*>,"['3 05', '00:48', '1', 'Starting', 'activities...']"
22,host1,192.168.0.1,daemon,2021-03-03T05:00:49,Mar  3 05:00:49 mail systemd[1]: Started Daily apt download activities.,d8914b98,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Daily apt download <*>,"['3 05', '00:49', '1', 'Started', 'activities.']"
23,host1,192.168.0.1,daemon,2021-03-03T05:00:49,Mar  3 05:00:49 mail systemd[1]: apt-daily.timer: Adding 11h 10min 37.139522s random time.,52df2902,Mar <*> <*>:<*>:<*> mail systemd[<*>]: apt-daily.timer: Adding <*> <*> <*> random time.,"['3 05', '00:49', '1', '11h', '10min 37.139522s']"
24,host1,192.168.0.1,daemon,2021-03-03T05:00:49,Mar  3 05:00:49 mail systemd[1]: apt-daily.timer: Adding 3h 43min 128.616ms random time.,52df2902,Mar <*> <*>:<*>:<*> mail systemd[<*>]: apt-daily.timer: Adding <*> <*> <*> random time.,"['3 05', '00:49', '1', '3h', '43min 128.616ms']"
25,host1,192.168.0.1,daemon,2021-03-03T05:09:18,Mar  3 05:09:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 05', '09:18', '1', 'Starting', 'files...']"
26,host1,192.168.0.1,daemon,2021-03-03T05:09:19,Mar  3 05:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 05', '09:19', '1', 'Started', 'files.']"
27,host1,192.168.0.1,daemon,2021-03-03T05:39:18,Mar  3 05:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 05', '39:18', '1', 'Starting', 'files...']"
28,host1,192.168.0.1,daemon,2021-03-03T05:39:19,Mar  3 05:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 05', '39:19', '1', 'Started', 'files.']"
29,host1,192.168.0.1,daemon,2021-03-03T06:09:18,Mar  3 06:09:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 06', '09:18', '1', 'Starting', 'files...']"
30,host1,192.168.0.1,daemon,2021-03-03T06:09:19,Mar  3 06:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 06', '09:19', '1', 'Started', 'files.']"
31,host1,192.168.0.1,daemon,2021-03-03T06:25:35,Mar  3 06:25:35 mail systemd[1]: Reloading The Apache HTTP Server.,92789e82,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> The Apache HTTP Server.,"['3 06', '25:35', '1', 'Reloading']"
32,host1,192.168.0.1,daemon,2021-03-03T06:25:35,Mar  3 06:25:35 mail systemd[1]: Reloaded The Apache HTTP Server.,92789e82,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> The Apache HTTP Server.,"['3 06', '25:35', '1', 'Reloaded']"
33,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail systemd[1]: Stopping Security Auditing Service...,76f9ac58,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Security Auditing <*>,"['3 06', '29:00', '1', 'Stopping', 'Service...']"
34,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail auditd[26519]: The audit daemon is exiting.,df60780e,Mar <*> <*>:<*>:<*> mail auditd[<*>]: The audit daemon is exiting.,"['3 06', '29:00', '26519']"
35,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail systemd[1]: Stopped Security Auditing Service.,76f9ac58,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Security Auditing <*>,"['3 06', '29:00', '1', 'Stopped', 'Service.']"
36,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail systemd[1]: Starting Security Auditing Service...,76f9ac58,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Security Auditing <*>,"['3 06', '29:00', '1', 'Starting', 'Service...']"
37,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail auditd[25454]: Started dispatcher: /sbin/audispd pid: 25458,681ae4d7,Mar <*> <*>:<*>:<*> mail auditd[<*>]: Started dispatcher: /<*> pid: <*>,"['3 06', '29:00', '25454', 'sbin/audispd', '25458']"
38,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: /sbin/augenrules: No change,44ded197,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: /<*>: No change,"['3 06', '29:00', '25455', 'sbin/augenrules']"
39,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail systemd[1]: Started Security Auditing Service.,76f9ac58,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Security Auditing <*>,"['3 06', '29:00', '1', 'Started', 'Service.']"
40,host1,192.168.0.1,daemon,2021-03-03T06:29:00,"Mar  3 06:29:00 mail auditd[25454]: Init complete, auditd 2.6.7 listening for events (startup state enable)",609e13cb,"Mar <*> <*>:<*>:<*> mail auditd[<*>]: Init complete, auditd <*>.<*>.<*> listening for events (startup state enable)","['3 06', '29:00', '25454', '2', '6.7']"
41,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: No rules,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'No rules']"
42,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: enabled 1,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'enabled 1']"
43,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: failure 1,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'failure 1']"
44,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: pid 25454,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'pid 25454']"
45,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: rate_limit 0,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'rate_limit 0']"
46,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: backlog_limit 81920,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'backlog_limit 81920']"
47,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: lost 1365,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'lost 1365']"
48,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: backlog 0,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'backlog 0']"
49,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: backlog_wait_time 0,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'backlog_wait_time 0']"
50,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: enabled 1,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'enabled 1']"
51,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: failure 1,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'failure 1']"
52,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: pid 25454,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'pid 25454']"
53,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: rate_limit 0,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'rate_limit 0']"
54,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: backlog_limit 81920,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'backlog_limit 81920']"
55,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: lost 1365,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'lost 1365']"
56,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: backlog 0,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'backlog 0']"
57,host1,192.168.0.1,daemon,2021-03-03T06:29:00,Mar  3 06:29:00 mail augenrules[25455]: backlog_wait_time 0,17f865ff,Mar <*> <*>:<*>:<*> mail augenrules[<*>]: <*> <*>,"['3 06', '29:00', '25455', 'backlog_wait_time 0']"
58,host1,192.168.0.1,daemon,2021-03-03T06:39:19,Mar  3 06:39:19 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 06', '39:19', '1', 'Starting', 'files...']"
59,host1,192.168.0.1,daemon,2021-03-03T06:39:19,Mar  3 06:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 06', '39:19', '1', 'Started', 'files.']"
60,host1,192.168.0.1,daemon,2021-03-03T06:39:53,Mar  3 06:39:53 mail systemd[1]: Starting Daily apt upgrade and clean activities...,f1e859c8,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Daily apt upgrade and clean <*>,"['3 06', '39:53', '1', 'Starting', 'activities...']"
61,host1,192.168.0.1,daemon,2021-03-03T06:39:53,Mar  3 06:39:53 mail systemd[1]: Started Daily apt upgrade and clean activities.,f1e859c8,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Daily apt upgrade and clean <*>,"['3 06', '39:53', '1', 'Started', 'activities.']"
62,host1,192.168.0.1,daemon,2021-03-03T06:39:53,Mar  3 06:39:53 mail systemd[1]: apt-daily-upgrade.timer: Adding 57min 26.416111s random time.,9563f306,Mar <*> <*>:<*>:<*> mail systemd[<*>]: apt-daily-upgrade.timer: Adding <*> <*> random time.,"['3 06', '39:53', '1', '57min 26.416111s']"
63,host1,192.168.0.1,daemon,2021-03-03T06:39:53,Mar  3 06:39:53 mail systemd[1]: apt-daily-upgrade.timer: Adding 34min 4.374957s random time.,9563f306,Mar <*> <*>:<*>:<*> mail systemd[<*>]: apt-daily-upgrade.timer: Adding <*> <*> random time.,"['3 06', '39:53', '1', '34min 4.374957s']"
64,host1,192.168.0.1,daemon,2021-03-03T07:09:18,Mar  3 07:09:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 07', '09:18', '1', 'Starting', 'files...']"
65,host1,192.168.0.1,daemon,2021-03-03T07:09:19,Mar  3 07:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 07', '09:19', '1', 'Started', 'files.']"
66,host1,192.168.0.1,daemon,2021-03-03T07:39:18,Mar  3 07:39:18 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 07', '39:18', '1', 'Starting', 'files...']"
67,host1,192.168.0.1,daemon,2021-03-03T07:39:19,Mar  3 07:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 07', '39:19', '1', 'Started', 'files.']"
68,host1,192.168.0.1,daemon,2021-03-03T07:51:19,Mar  3 07:51:19 mail dhclient[375]: DHCPREQUEST of 192.168.10.154 on eth0 to 192.168.10.2 port 67,208e2c19,Mar <*> <*>:<*>:<*> mail dhclient[<*>]: DHCPREQUEST of <*> on eth0 to <*> port <*>,"['3 07', '51:19', '375', '192.168.10.154', '192.168.10.2', '67']"
69,host1,192.168.0.1,daemon,2021-03-03T07:51:19,Mar  3 07:51:19 mail dhclient[375]: DHCPACK of 192.168.10.154 from 192.168.10.2,e8c5e314,Mar <*> <*>:<*>:<*> mail dhclient[<*>]: DHCPACK of <*> from <*>,"['3 07', '51:19', '375', '192.168.10.154', '192.168.10.2']"
70,host1,192.168.0.1,daemon,2021-03-03T07:51:19,Mar  3 07:51:19 mail dhclient[375]: bound to 192.168.10.154 -- renewal in 38862 seconds.,54fd87b3,Mar <*> <*>:<*>:<*> mail dhclient[<*>]: bound to <*> -- renewal in <*> seconds.,"['3 07', '51:19', '375', '192.168.10.154', '38862']"
71,host1,192.168.0.1,daemon,2021-03-03T08:09:19,Mar  3 08:09:19 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 08', '09:19', '1', 'Starting', 'files...']"
72,host1,192.168.0.1,daemon,2021-03-03T08:09:19,Mar  3 08:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 08', '09:19', '1', 'Started', 'files.']"
73,host1,192.168.0.1,daemon,2021-03-03T08:39:19,Mar  3 08:39:19 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 08', '39:19', '1', 'Starting', 'files...']"
74,host1,192.168.0.1,daemon,2021-03-03T08:39:19,Mar  3 08:39:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 08', '39:19', '1', 'Started', 'files.']"
75,host1,192.168.0.1,daemon,2021-03-03T09:09:19,Mar  3 09:09:19 mail systemd[1]: Starting Clean php session files...,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 09', '09:19', '1', 'Starting', 'files...']"
76,host1,192.168.0.1,daemon,2021-03-03T09:09:19,Mar  3 09:09:19 mail systemd[1]: Started Clean php session files.,e2f489f9,Mar <*> <*>:<*>:<*> mail systemd[<*>]: <*> Clean php session <*>,"['3 09', '09:19', '1', 'Started', 'files.']"
77,host1,192.168.0.1,daemon,2021-03-03T09:22:02,Mar  3 09:22:02 mail dhclient[406]: DHCPREQUEST of 192.168.10.154 on eth0 to 192.168.10.2 port 67,208e2c19,Mar <*> <*>:<*>:<*> mail dhclient[<*>]: DHCPREQUEST of <*> on eth0 to <*> port <*>,"['3 09', '22:02', '406', '192.168.10.154', '192.168.10.2', '67']"
78,host1,192.168.0.1,daemon,2021-03-03T09:22:02,Mar  3 09:22:02 mail dhclient[406]: DHCPACK of 192.168.10.154 from 192.168.10.2,e8c5e314,Mar <*> <*>:<*>:<*> mail dhclient[<*>]: DHCPACK of <*> from <*>,"['3 09', '22:02', '406', '192.168.10.154', '192.168.10.2']"
